"Occupancy Rate by Region (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Northland","","","Auckland","","","Waikato","","","Bay of Plenty","","","Hawke's Bay, Gisborne","","","Taranaki, Manawatu, Wanganui","","","Wellington","","","Nelson, Marlborough, Tasman","","","Canterbury","","","West Coast","","","Otago","","","Southland","","","North Island","","","South Island","","","New Zealand","",""
" ","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks"
"1997M09",14.53,30.93,3261,42.73,53.35,9260,19.63,39.18,4670,24.07,44.36,4824,21.16,39.82,2064,25.38,37.64,4853,42.83,55.60,4095,18.38,37.44,2891,27.83,42.14,8369,21.09,24.84,2207,28.23,45.36,6336,16.98,25.22,1921,"..","..",33027,"..","..",21724,26.20,42.67,54751
"1997M10",18.66,37.50,3390,46.69,58.62,9382,24.21,46.35,4698,29.46,54.11,4846,26.27,46.83,2100,28.36,41.72,4892,46.69,60.19,4088,21.49,41.91,3010,28.34,48.73,8636,27.15,31.64,2332,28.81,46.00,6467,25.59,36.86,1991,"..","..",33396,"..","..",22436,29.57,48.31,55832
"1997M11",20.74,42.00,3390,50.59,64.00,9500,23.72,44.70,4787,30.78,58.02,4912,25.99,46.91,2085,26.24,38.98,4664,51.42,65.36,4110,25.47,50.70,3052,31.51,57.05,8697,33.09,41.09,2363,33.07,53.56,6695,31.40,43.73,2105,"..","..",33448,"..","..",22912,32.01,53.16,56360
"1997M12",28.39,42.97,3413,44.90,53.09,9703,29.64,44.31,4726,32.16,47.46,4906,29.40,45.26,2034,22.69,30.05,4632,42.06,51.06,4055,34.09,52.47,3031,31.63,50.03,8665,34.37,37.44,2359,33.73,49.33,6670,32.72,41.35,2103,"..","..",33469,"..","..",22828,33.04,46.88,56297
"1998M01",40.34,59.60,3423,48.71,57.26,9696,40.08,52.13,4761,46.84,55.13,4927,42.39,58.05,2070,28.75,33.06,4657,44.38,52.21,4065,50.46,65.99,3062,37.00,54.88,8765,43.24,48.26,2331,42.56,51.10,6757,41.18,50.25,2106,"..","..",33599,"..","..",23021,41.96,53.20,56620
"1998M02",28.34,55.69,3412,57.34,70.05,9911,33.14,57.43,4758,39.24,62.08,4929,36.26,60.02,2068,29.76,41.63,4539,58.44,73.52,4088,41.58,69.09,3103,39.11,66.78,8594,46.37,55.97,2352,41.25,62.59,6745,46.44,59.20,2112,"..","..",33705,"..","..",22906,40.72,62.61,56611
"1998M03",23.04,48.32,3468,53.50,65.19,9845,28.47,53.09,4791,30.14,51.38,4985,30.59,52.66,2164,27.74,40.40,4493,58.22,74.16,4102,33.41,59.20,3144,31.99,56.75,8828,38.52,48.72,2345,36.07,55.90,6784,33.96,50.18,2112,"..","..",33848,"..","..",23213,34.90,56.19,57061
"1998M04",22.17,42.93,3479,47.81,58.09,9804,26.77,47.92,4771,30.13,49.82,4973,28.71,47.73,2189,26.29,36.63,4605,51.41,65.10,4116,28.28,50.27,3114,28.61,49.45,8862,32.88,38.57,2298,34.65,50.89,6839,28.67,39.79,2042,"..","..",33937,"..","..",23155,31.96,49.90,57092
"1998M05",14.00,30.07,3514,42.53,52.15,9742,19.94,38.20,4882,22.21,40.71,4933,20.37,37.16,2202,21.65,31.49,4653,47.69,61.49,4124,18.55,35.23,3058,23.39,34.77,8932,20.21,26.38,2420,21.14,33.11,6942,18.49,27.39,2061,"..","..",34050,"..","..",23413,24.42,39.18,57463
"1998M06",11.03,25.51,3455,39.37,48.13,9872,18.63,36.91,4810,19.97,37.53,4967,16.92,31.35,2193,19.34,27.94,4769,41.60,53.08,4124,15.40,29.48,2975,19.79,29.72,9070,14.55,18.78,2368,17.28,27.62,6950,12.71,19.48,1977,"..","..",34190,"..","..",23340,21.24,34.42,57530
"1998M07",11.61,26.50,3361,42.53,50.93,10242,19.80,39.63,4749,23.45,43.25,5049,19.28,34.49,2165,20.87,29.35,4721,50.66,63.04,4175,17.72,34.65,2899,24.85,37.59,9072,16.99,21.56,2388,27.36,43.50,6977,13.18,20.60,1851,"..","..",34462,"..","..",23187,25.15,40.39,57649
"1998M08",10.92,25.27,3570,39.27,48.35,10321,18.24,36.41,4794,20.67,38.21,5071,19.64,34.60,2174,20.58,28.19,5009,44.33,56.35,4196,15.78,30.05,2958,24.87,38.18,9191,16.68,21.52,2514,32.58,51.93,7101,14.46,22.46,1910,"..","..",35135,"..","..",23674,24.36,39.38,58809
"1998M09",12.54,28.59,3561,39.88,48.60,10644,21.36,41.44,4824,23.68,42.57,5091,22.14,38.19,2165,22.65,32.32,5033,49.00,61.37,4188,18.15,34.06,3126,26.28,39.30,9212,21.81,26.84,2501,30.19,47.12,7204,17.66,26.12,2061,"..","..",35506,"..","..",24104,26.11,41.39,59610
"1998M10",17.05,37.04,3589,45.31,55.56,10665,24.26,45.66,4895,28.37,49.58,5146,28.29,48.71,2170,24.55,34.16,5021,52.85,66.39,4198,21.71,41.31,3161,28.21,49.50,9186,29.83,36.22,2630,28.08,44.23,7214,22.77,33.97,2063,"..","..",35684,"..","..",24254,29.33,47.21,59938
"1998M11",20.17,44.79,3576,51.31,63.10,10896,24.11,46.34,4918,28.86,52.16,5095,26.61,47.39,2152,24.61,35.13,4861,54.26,68.64,4198,26.30,50.24,3234,31.38,56.05,9041,35.52,43.29,2649,33.81,53.47,7384,31.40,45.00,2151,"..","..",35696,"..","..",24459,32.37,52.83,60155
"1998M12",27.18,47.31,3634,42.72,51.06,11001,30.36,44.30,4948,31.86,46.54,5141,29.03,45.76,2152,21.59,27.34,4848,46.08,56.45,4152,35.54,51.55,3265,30.12,48.19,9093,37.39,42.16,2655,34.49,49.85,7397,30.83,40.52,2153,"..","..",35876,"..","..",24563,32.95,46.85,60439
"1999M01",36.65,56.46,3606,47.85,52.98,10941,42.32,54.63,5002,47.85,57.13,5174,42.43,57.60,2185,28.36,31.57,4564,49.56,59.00,4152,54.57,66.52,3274,37.36,55.48,9051,48.66,50.04,2651,50.85,55.36,7274,40.92,49.67,2183,"..","..",35624,"..","..",24433,43.75,53.79,60057
