"Actual by Accommodation by Type by Variable (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total","","","","","","Hotels","","","","","","Motels","","","","","","Backpackers","","","","","","Holiday parks","","","","","","Total excluding holiday parks","","","","",""
" ","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)"
"1998M04",2698,3281520,1949003,32.0,1.9,109384,568,708000,557415,49.0,1.8,23600,1462,643020,747828,54.9,1.8,21434,262,361740,188259,42.7,2.1,12058,406,1568760,455501,12.4,2.2,52292,2292,1712760,1493502,49.9,1.8,57092
"1998M05",2694,3278715,1334408,24.4,1.9,105765,575,728655,449741,40.9,1.8,23505,1466,666841,546604,42.9,1.8,21511,260,385857,135178,29.5,2.2,12447,393,1497362,202885,6.9,2.4,48302,2301,1781353,1131523,39.2,1.8,57463
"1998M06",2662,3151440,1052802,21.2,1.9,105048,562,705120,377583,36.7,1.9,23504,1462,644700,427496,37.2,1.8,21490,257,376080,108277,25.5,2.2,12536,381,1425540,139447,5.3,2.6,47518,2281,1725900,913356,34.4,1.9,57530
"1998M07",2628,3218606,1417150,25.2,2.0,103826,556,735878,484001,41.7,1.9,23738,1456,670096,608256,44.1,1.9,21616,251,381145,137950,31.4,2.2,12295,365,1431487,186944,6.1,2.4,46177,2263,1787119,1230207,40.4,1.9,57649
"1998M08",2694,3301097,1342028,24.4,2.0,106487,570,738730,492540,42.9,2.0,23830,1480,683612,548454,41.5,1.9,22052,262,400737,133800,29.2,2.3,12927,382,1478018,167234,5.8,2.5,47678,2312,1823079,1174794,39.4,2.0,58809
"1998M09",2723,3236730,1454850,26.1,1.9,107891,570,730170,497318,43.7,1.9,24339,1486,655380,592175,45.8,1.8,21846,278,402750,141732,30.2,2.2,13425,389,1448430,223624,7.2,2.2,48281,2334,1788300,1231226,41.4,1.9,59610
"1998M10",2754,3499931,1828089,29.3,1.9,112901,572,755594,599504,50.0,1.8,24374,1489,676606,721980,51.7,1.8,21826,286,425878,174585,35.2,2.1,13738,407,1641853,332021,9.1,2.2,52963,2347,1858078,1496068,47.2,1.8,59938
"1998M11",2767,3418140,1847221,32.4,1.8,113938,578,743100,672669,57.8,1.7,24770,1493,657300,658914,53.2,1.7,21910,282,404250,200902,43.1,1.9,13475,414,1613490,314736,9.5,2.0,53783,2353,1804650,1532485,52.8,1.7,60155
"1998M12",2778,3550833,2291998,33.0,2.0,114543,580,768521,588061,45.3,1.7,24791,1494,682806,707685,47.6,1.8,22026,286,422282,235583,48.4,2.0,13622,418,1677224,760668,17.4,2.7,54104,2360,1873609,1531329,46.9,1.8,60439
"1999M01",2769,3520050,3346847,43.7,2.3,113550,577,763158,658358,49.0,1.8,24618,1497,681225,935241,58.1,1.9,21975,283,417384,270759,55.6,1.9,13464,412,1658283,1482488,32.5,3.3,53493,2357,1861767,1864359,53.8,1.9,60057
"1999M02",2780,3205244,2302880,41.0,1.8,114473,580,699048,719525,64.0,1.7,24966,1498,618156,796830,63.8,1.7,22077,287,380828,256131,59.3,1.9,13601,415,1507212,530394,16.3,2.1,53829,2365,1698032,1772486,62.9,1.7,60644
"1999M03",2766,3538836,2211898,36.5,1.8,114156,573,773295,717013,58.1,1.8,24945,1496,686123,807243,60.1,1.8,22133,286,425072,256892,53.8,2.0,13712,411,1654346,430751,12.2,2.1,53366,2355,1884490,1781147,57.9,1.8,60790
"1999M04",2745,3411690,2037904,32.8,1.9,113723,563,747840,629595,51.2,1.7,24928,1495,662880,748156,53.9,1.8,22096,280,403650,211673,45.8,2.0,13455,407,1597320,448480,12.1,2.2,53244,2338,1814370,1589424,51.0,1.8,60479
"1999M05",2729,3388889,1311744,24.5,1.9,109319,561,770815,492586,42.7,1.8,24865,1496,687332,490736,39.4,1.7,22172,276,418562,152276,32.5,2.2,13502,396,1512180,176146,6.1,2.2,48780,2333,1876709,1135598,39.2,1.8,60539
"1999M06",2719,3273900,1311513,24.1,1.9,109130,561,744990,454040,39.6,1.8,24833,1499,667050,538712,41.9,1.8,22235,266,394560,140626,31.5,2.1,13152,393,1467300,178135,6.0,2.3,48910,2326,1806600,1133379,38.7,1.8,60220
"1999M07",2721,3397507,1515390,26.0,2.0,109597,566,776457,556963,45.3,1.9,25047,1496,689347,616079,43.8,1.8,22237,268,419368,155868,33.1,2.2,13528,391,1512335,186480,6.0,2.3,48785,2330,1885172,1328910,42.0,1.9,60812
"1999M08",2723,3388424,1450083,26.2,2.0,109304,567,779526,559530,46.7,1.9,25146,1500,688944,557993,42.3,1.9,22224,271,428265,159207,33.7,2.3,13815,385,1491689,173353,5.9,2.5,48119,2338,1896735,1276730,42.2,1.9,61185
"1999M09",2766,3345600,1794935,30.7,2.0,111520,573,762810,633029,52.0,2.0,25427,1517,671070,704351,50.6,1.9,22369,283,428310,174285,36.9,2.2,14277,393,1483410,283270,8.9,2.3,49447,2373,1862190,1511665,48.0,1.9,62073
"1999M10",2791,3579415,1840983,29.9,1.9,115465,570,783773,641704,51.1,1.7,25283,1533,701313,685529,49.4,1.8,22623,283,439270,186219,38.6,2.1,14170,405,1655059,327532,9.3,2.1,53389,2386,1924356,1513452,47.6,1.8,62076
"1999M11",2802,3492360,2044836,35.2,1.8,116412,567,756000,755577,62.6,1.8,25200,1536,677820,719332,55.9,1.7,22594,282,424920,241370,51.3,2.0,14164,417,1633620,328558,9.7,2.0,54454,2385,1858740,1716279,57.6,1.8,61958
"1999M12",2832,3663766,2363005,33.8,2.0,118186,567,776519,606464,46.9,1.7,25049,1551,708505,717066,47.1,1.8,22855,291,451453,263536,52.5,2.0,14563,423,1727289,775939,17.6,2.5,55719,2409,1936477,1587066,48.3,1.8,62467
